agent_id,agent_type,model_architecture,deployment_environment,task_category,performance_index,success_rate,cost_per_task_cents,cost_efficiency_ratio,strategic_category,failure_rate,potential_loss,roi,business_value,optimization_potential
AG_00480,Code Assistant,CodeT5+,Hybrid,Creative Writing,0.4318599999999999,0.3574,0.0195,21.06634146341463,Underperformer,0.6426000000000001,0.0125307,6.915218666666665,0.0,0.017448243938686877
AG_04649,Code Assistant,Claude-3.5,Server,Text Processing,0.4778499999999999,0.3949,0.0098,44.24537037037036,Underperformer,0.6051,0.00592998,18.25540459183673,0.012750754437200008,0.05499596031749043
AG_04040,Code Assistant,LLaMA-3,Edge,Planning & Scheduling,0.47651,0.4361,0.0147,30.35095541401274,Underperformer,0.5639000000000001,0.008289330000000001,13.136463333333333,0.08546053318478,0.04786373577588183
AG_04730,Code Assistant,Claude-3.5,Server,Problem Solving,0.3911399999999999,0.3,0.0437,8.750335570469796,Underperformer,0.7,0.03059,1.6851716247139576,0.0,0.0005113535998148062
AG_01489,Code Assistant,Falcon-180B,Hybrid,Learning & Adaptation,0.37038,0.3,0.0244,14.581889763779524,Underperformer,0.7,0.01708,3.5538524590163925,0.0,0.003267371937031959
AG_01764,Code Assistant,Mixtral-8x7B,Server,Creative Writing,0.4720999999999999,0.389,0.0159,27.934911242603544,Underperformer,0.611,0.0097149,10.550119496855343,0.061218188968,0.026435759960952775
AG_00828,Code Assistant,Mixtral-8x7B,Server,Data Analysis,0.5145299999999999,0.4362,0.0331,15.088856304985336,Underperformer,0.5638000000000001,0.018661780000000003,5.780603806646525,0.020966473889639996,0.01500664178892272
AG_02609,Code Assistant,Claude-3.5,Edge,Code Generation,0.36897,0.3,0.0251,14.136781609195404,Underperformer,0.7,0.01757,3.4099999999999997,0.007969078998719993,0.004168494570033092
AG_01249,Code Assistant,Mixtral-8x7B,Edge,Decision Making,0.38361,0.3,0.0167,21.672881355932205,Underperformer,0.7,0.011689999999999999,5.8911976047904195,0.0,0.0032516872225851383
AG_02006,Code Assistant,Gemini-Pro,Server,Planning & Scheduling,0.72509,0.7403,0.0143,47.39150326797385,Workhorse,0.25970000000000004,0.0037137100000000007,36.537351538461536,0.32380075991718,0.49290233023423813
AG_02992,Code Assistant,InstructGPT,Cloud,Creative Writing,0.79376,0.806,0.0114,64.01290322580644,Workhorse,0.19399999999999995,0.0022115999999999993,55.12022456140352,0.47052140150400007,0.2716078024206339
AG_01657,Code Assistant,LLaMA-3,Edge,Problem Solving,0.37299,0.3,0.0253,14.182129277566538,Underperformer,0.7,0.01771,3.4228063241106716,0.0010053065193599956,0.0007290737806822392
AG_00644,Code Assistant,PaLM-2,Mobile,Data Analysis,0.6258900000000001,0.6162,0.0218,27.45131578947369,Underperformer,0.38380000000000003,0.00836684,16.69144119266055,0.17563152866183998,0.10087464043900787
AG_04647,Code Assistant,Transformer-XL,Cloud,Problem Solving,0.41247,0.3498,0.0202,19.456132075471697,Underperformer,0.6502,0.01313404,6.142673564356436,0.010326557673000008,0.01965354512553678
AG_03722,Code Assistant,InstructGPT,Mobile,Creative Writing,0.58967,0.5219,0.0151,36.62546583850932,Underperformer,0.47809999999999997,0.00721931,19.38071344370861,0.14275984349783002,0.08026411493729126
AG_00336,Code Assistant,LLaMA-3,Cloud,Communication,0.71573,0.7148,0.0088,73.03367346938775,Workhorse,0.2852,0.00250976,57.13679590909089,0.35364089037139995,0.7017719722288619
AG_00076,Code Assistant,Mixtral-8x7B,Edge,Data Analysis,0.5992999999999999,0.5609,0.0233,24.662551440329217,Underperformer,0.43910000000000005,0.010231030000000002,13.42692575107296,0.058867793488399905,0.13416450389694856
AG_03686,Code Assistant,GPT-4o,Edge,Research & Summarization,0.57118,0.5236,0.0266,20.694927536231884,Underperformer,0.47640000000000005,0.012672240000000001,10.243227368421051,0.12658233900528,0.0683564301962732
AG_01760,Code Assistant,CodeT5+,Desktop,Creative Writing,0.55018,0.4663,0.0209,25.122374429223743,Underperformer,0.5337000000000001,0.01115433,11.275068612440192,0.0,0.06653137309915497
AG_04802,Code Assistant,Gemini-Pro,Hybrid,Creative Writing,0.6990500000000001,0.671,0.007,87.38125000000001,Workhorse,0.32899999999999996,0.002303,66.00893571428573,0.27967964923745,1.7784262860720323
AG_03473,Code Assistant,Claude-3.5,Mobile,Problem Solving,0.35568,0.3,0.0337,10.25014409221902,Underperformer,0.7,0.02359,2.166290801186943,0.0,-0.00018606795129700663
AG_04820,Code Assistant,GPT-4o,Cloud,Code Generation,0.44253,0.3186,0.0153,27.149079754601228,Underperformer,0.6814,0.01042542,8.215036470588235,0.0,0.004604070748380755
AG_00460,Code Assistant,GPT-4o,Cloud,Learning & Adaptation,0.3879,0.3,0.0463,8.200845665961944,Underperformer,0.7,0.03241,1.5133909287257017,0.0,0.0016391296087008718
AG_00787,Code Assistant,PaLM-2,Desktop,Learning & Adaptation,0.42382,0.3874,0.0319,12.882066869300912,Underperformer,0.6126,0.01954194,4.146955109717868,0.0,0.0028135919026031843
AG_03654,Code Assistant,CodeT5+,Cloud,Planning & Scheduling,0.47484,0.4116,0.0114,38.29354838709677,Underperformer,0.5884,0.006707760000000001,16.14422315789474,0.03450384593567998,0.01685379603136043
AG_03156,Code Assistant,Mixtral-8x7B,Cloud,Planning & Scheduling,0.43823,0.3599,0.0149,27.561635220125787,Underperformer,0.6401,0.009537490000000001,9.58516624161074,0.0,0.030453026761347018
AG_01601,Code Assistant,LLaMA-3,Hybrid,Communication,0.7912600000000001,0.8224,0.0064,106.92702702702704,Workhorse,0.17759999999999998,0.00113664,100.67691000000002,0.48089366139320006,0.6495562677592484
AG_03935,Code Assistant,Mixtral-8x7B,Desktop,Text Processing,0.4811500000000001,0.3754,0.0074,57.279761904761905,Underperformer,0.6246,0.004622040000000001,23.408609459459466,0.039282501543300014,0.17209777568160092
AG_03116,Code Assistant,Claude-3.5,Mobile,Research & Summarization,0.63241,0.5998,0.0306,20.012974683544307,Underperformer,0.4002,0.01224612,11.396062679738563,0.07890855047796003,0.12610234556748165
AG_04199,Code Assistant,Gemini-Pro,Mobile,Learning & Adaptation,0.3527099999999999,0.3,0.036,9.532702702702702,Underperformer,0.7,0.025199999999999997,1.9392499999999997,0.0,-1.6393493548203595e-05
AG_01043,Code Assistant,PaLM-2,Hybrid,Research & Summarization,0.55439,0.5675,0.022,24.103913043478265,Underperformer,0.4325,0.009515,13.300742045454546,0.10129794121960002,0.0008223608645684855
AG_01139,Code Assistant,CodeT5+,Server,Code Generation,0.5341100000000001,0.488,0.0199,25.5555023923445,Underperformer,0.512,0.010188800000000001,12.097772864321609,0.10692280578496,0.07455842302858626
AG_00610,Code Assistant,Mixtral-8x7B,Mobile,Data Analysis,0.58316,0.5486,0.0242,23.141269841269843,Underperformer,0.4514,0.01092388,12.219899834710743,0.05198548329360002,0.10679490073343081
AG_02549,Code Assistant,Gemini-Pro,Mobile,Problem Solving,0.40478,0.3239,0.0357,11.02942779291553,Underperformer,0.6760999999999999,0.02413677,2.672499775910364,0.0,0.005440996223061219
AG_01292,Code Assistant,CodeT5+,Hybrid,Problem Solving,0.36663,0.3,0.0345,10.327605633802817,Underperformer,0.7,0.02415,2.188086956521739,0.0,0.0001633402863497997
AG_02511,Code Assistant,Falcon-180B,Cloud,Data Analysis,0.43017,0.3,0.0288,14.435234899328862,Underperformer,0.7,0.020159999999999997,3.4809375000000005,0.0,0.00012578512148185214
AG_03212,Code Assistant,PaLM-2,Cloud,Planning & Scheduling,0.6462,0.6231,0.0102,57.69642857142856,Workhorse,0.3769,0.0038443800000000005,38.47521764705882,0.26046204854939997,0.26533599912331907
AG_02088,Code Assistant,Claude-3.5,Cloud,Planning & Scheduling,0.70689,0.6588,0.0157,42.32874251497006,Workhorse,0.34119999999999995,0.005356839999999999,28.662365095541407,0.3149724184405201,0.7370905469414887
AG_03020,Code Assistant,InstructGPT,Cloud,Decision Making,0.46768,0.4174,0.0167,26.422598870056497,Underperformer,0.5826,0.009729419999999999,10.689199520958084,0.0,0.003836096060613138
AG_02533,Code Assistant,Falcon-180B,Mobile,Creative Writing,0.6821599999999999,0.6656,0.0148,43.17468354430378,Workhorse,0.33440000000000003,0.00494912,29.678763243243235,0.3023403246047999,0.30646532626692147
AG_03322,Code Assistant,CodeT5+,Desktop,Creative Writing,0.59586,0.5412,0.0173,32.56065573770491,Underperformer,0.4588,0.00793724,17.64042959537572,0.16117248869135997,0.2642076847880162
AG_02679,Code Assistant,InstructGPT,Desktop,Problem Solving,0.3920099999999999,0.3,0.0302,12.564423076923076,Underperformer,0.7,0.02114,2.894139072847681,0.0021459819110400363,-0.0007803179381098564
AG_01142,Code Assistant,Mixtral-8x7B,Mobile,Planning & Scheduling,0.5413600000000001,0.4537,0.0133,37.85734265734266,Underperformer,0.5463,0.007265789999999999,17.467295639097745,0.08625949414952001,0.06817785258271784
AG_03125,Code Assistant,InstructGPT,Server,Planning & Scheduling,0.63661,0.5713,0.0173,34.78743169398907,Underperformer,0.42869999999999997,0.007416509999999999,20.022849306358385,0.15121543495656004,0.40532867277834245
AG_01632,Code Assistant,GPT-4o,Cloud,Learning & Adaptation,0.34776,0.3,0.0337,10.021902017291064,Underperformer,0.7,0.02359,2.095786350148368,0.0016426374048000272,0.0005424357614405797
AG_01293,Code Assistant,GPT-4o,Desktop,Learning & Adaptation,0.40132,0.3439,0.0147,25.561783439490448,Underperformer,0.6561,0.00964467,8.38870394557823,0.0006103956803999943,0.009286605502021442
AG_03582,Code Assistant,LLaMA-3,Mobile,Planning & Scheduling,0.53881,0.4879,0.0152,33.25987654320988,Underperformer,0.5121,0.00778392,16.295092039473687,0.022959760404990003,0.1263730188403099
AG_02610,Code Assistant,GPT-4o,Hybrid,Learning & Adaptation,0.36939,0.3,0.0305,11.726666666666668,Underperformer,0.7,0.021349999999999997,2.6333442622950822,0.0,-0.0004124558260866459
AG_00976,Code Assistant,InstructGPT,Cloud,Problem Solving,0.51539,0.473,0.0257,19.30299625468165,Underperformer,0.527,0.013543900000000001,8.485582490272373,0.08677130366408002,0.017212198937734662
AG_03178,Code Assistant,Falcon-180B,Server,Data Analysis,0.55389,0.4437,0.0293,18.28019801980198,Underperformer,0.5563,0.01629959,7.387747201365188,0.06396652059995998,0.09867371913720363
AG_01495,Code Assistant,Gemini-Pro,Cloud,Decision Making,0.57136,0.5704,0.0252,21.807633587786256,Underperformer,0.4296,0.01082592,11.932688253968253,0.13195808027280004,0.029549677499423107
AG_02418,Code Assistant,Mixtral-8x7B,Server,Creative Writing,0.63778,0.61,0.0134,44.29027777777778,Underperformer,0.39,0.005226000000000001,28.033268656716416,0.10426698241388005,0.3435205623051631
AG_02071,Code Assistant,Transformer-XL,Mobile,Decision Making,0.54938,0.5234,0.0159,32.5076923076923,Underperformer,0.4766,0.007577940000000001,17.084622138364775,0.11921170883335996,0.09969940261274757
AG_04050,Code Assistant,LLaMA-3,Server,Planning & Scheduling,0.67918,0.6532,0.0133,47.495104895104895,Workhorse,0.3468,0.00461244,32.356419248120304,0.22586227071888,0.2470027000637235
AG_01696,Code Assistant,Mixtral-8x7B,Edge,Text Processing,0.50628,0.4914,0.0125,37.502222222222215,Underperformer,0.5085999999999999,0.0063574999999999994,18.902879359999996,0.15380811714000003,0.04609729788387263
AG_00866,Code Assistant,CodeT5+,Hybrid,Creative Writing,0.46245,0.3819,0.0154,28.19817073170732,Underperformer,0.6181,0.00951874,10.468159415584417,0.0,0.02825086248940261
AG_01443,Code Assistant,InstructGPT,Cloud,Decision Making,0.37626,0.3,0.0226,15.94322033898305,Underperformer,0.7,0.015819999999999997,3.9946017699115046,0.0,0.0010944491807077246
AG_03966,Code Assistant,GPT-4o,Mobile,Communication,0.5986100000000001,0.5591,0.0112,49.06639344262296,Underperformer,0.44089999999999996,0.004938079999999999,28.882397410714294,0.07034049173735997,0.14495482006863147
AG_00472,Code Assistant,Transformer-XL,Mobile,Creative Writing,0.5279699999999999,0.4758,0.0177,28.233689839572182,Underperformer,0.5242,0.00927834,13.192549491525423,0.10054004730071998,0.06799119819607627
AG_01965,Code Assistant,PaLM-2,Hybrid,Decision Making,0.45333,0.3306,0.0199,21.69043062200957,Underperformer,0.6694,0.013321060000000001,6.5312009045226125,0.0,0.017343566051735707
AG_03475,Code Assistant,CodeT5+,Cloud,Planning & Scheduling,0.47982,0.4596,0.0153,29.436809815950923,Underperformer,0.5404,0.00826812,13.413416470588237,0.03713262108336004,0.015578008405489402
AG_03761,Code Assistant,Transformer-XL,Hybrid,Problem Solving,0.3468,0.3,0.0263,12.703296703296704,Underperformer,0.7,0.01841,2.9558935361216725,0.00588661094400002,-0.0008460970470241307
AG_00019,Code Assistant,CodeT5+,Hybrid,Data Analysis,0.5277200000000001,0.4289,0.0282,18.07260273972603,Underperformer,0.5710999999999999,0.016105019999999998,7.0262095035461005,0.09290598729240003,0.03629230289548397
AG_02809,Code Assistant,Gemini-Pro,Server,Decision Making,0.51447,0.4296,0.0181,26.935602094240835,Underperformer,0.5704,0.010324240000000002,11.210845966850828,0.0,0.07126826033771272
AG_01342,Code Assistant,PaLM-2,Mobile,Text Processing,0.6351899999999999,0.5787,0.0129,45.69712230215827,Underperformer,0.4213,0.00543477,27.494918837209294,0.12249505378985998,0.14784110854932347
AG_03002,Code Assistant,Falcon-180B,Mobile,Communication,0.5993200000000001,0.5746,0.0129,43.116546762589934,Underperformer,0.4254,0.00548766,25.69529240310078,0.16002881542784006,0.19580807161918004
