agent_id,agent_type,model_architecture,deployment_environment,task_category,task_complexity,autonomy_level,success_rate,accuracy_score,efficiency_score,execution_time_seconds,response_latency_ms,memory_usage_mb,cpu_usage_percent,cost_per_task_cents,human_intervention_required,error_recovery_rate,multimodal_capability,edge_compatibility,privacy_compliance_score,bias_detection_score,timestamp,data_quality_score,performance_index,cost_efficiency_ratio,autonomous_capability_score,business_value_score,operational_risk_index,scalability_potential,total_cost_of_ownership,performance_trend_7d,stability_index,degradation_risk_score,seasonality_impact,performance_quartile,cost_efficiency_tier,strategic_importance
AG_00480,Code Assistant,CodeT5+,Hybrid,Creative Writing,8,6,0.3574,0.4888,0.4742,43.85,1847.43,488.2,75.3,0.0195,True,0.3809,True,False,0.9653,0.8684,2024-12-24 04:16:15,0.8117,0.4318599999999999,21.06634146341463,86.663,0.2494524052599615,1.27125,0.0012889078946241924,14.779884697833525,0.0,0.6812816442275977,0.3202673423089609,0.00430628756469725,2,Low,Low
AG_04649,Code Assistant,Claude-3.5,Server,Text Processing,7,6,0.3949,0.5681,0.4982,15.99,1102.45,444.3,74.9,0.0098,True,0.5419,False,False,0.9493,0.7267,2024-12-24 04:16:16,0.9487,0.4778499999999999,44.24537037037036,97.933,0.29547115998131823,0.94644,0.0020541672558700708,7.7177628830519085,0.045989999999999975,0.6812816442275977,0.30901734230896094,0.00430628756469725,2,High,Low
AG_04040,Code Assistant,LLaMA-3,Edge,Planning & Scheduling,7,8,0.4361,0.431,0.5759,30.77,1682.61,447.7,71.2,0.0147,True,0.5538,False,True,0.7849,0.622,2024-12-24 04:16:16,0.7897,0.47651,30.35095541401274,118.766,0.2793565354150303,0.68858,0.002796611447704871,11.778747738056548,0.02232500000000004,0.6812816442275977,0.2966573423089609,0.00430628756469725,2,Medium,Low
AG_04730,Code Assistant,Claude-3.5,Server,Problem Solving,9,8,0.3,0.4029,0.5009,114.32,1502.12,556.0,96.3,0.0437,True,0.3564,False,True,0.9451,0.6271,2024-12-24 04:16:16,0.9255,0.3911399999999999,8.750335570469796,104.948,0.21767826466342122,1.22976,8.348310035764267e-05,13.519462260321902,-0.013573333333333345,0.6812816442275977,0.3415593423089609,0.00430628756469725,1,Very Low,Low
AG_01489,Code Assistant,Falcon-180B,Hybrid,Learning & Adaptation,9,7,0.3,0.4174,0.4172,57.43,2207.44,528.6,87.2,0.0244,True,0.3701,False,False,0.9379,0.7145,2024-12-25 04:16:16,0.8281,0.37038,14.581889763779524,95.907,0.22349809874543092,1.3078400000000001,0.00032010077372511883,19.867384865053108,-0.015369999999999981,0.6812816442275977,0.3420983423089609,0.002909115456679281,1,Very Low,Low
AG_01764,Code Assistant,Mixtral-8x7B,Server,Creative Writing,7,9,0.389,0.547,0.508,34.15,1219.94,452.4,79.1,0.0159,True,0.4759,True,False,0.9548,0.88,2024-12-27 04:16:16,0.8461,0.4720999999999999,27.934911242603544,123.313,0.2726961893804291,0.74474,0.0015488283653048848,8.540045592972183,0.008048,0.6812816442275977,0.3107873423089609,0.0038905873113782457,2,Medium,Low
AG_00828,Code Assistant,Mixtral-8x7B,Server,Data Analysis,6,5,0.4362,0.5603,0.5732,86.31,376.58,437.5,81.8,0.0331,True,0.5653,False,False,0.9669,0.7482,2024-12-28 04:16:15,0.7897,0.5145299999999999,15.088856304985336,89.571,0.28381750766689234,0.9289100000000001,0.001764014382699521,2.2598635013324064,0.013778333333333337,0.6812816442275977,0.29662734230896093,0.0044733208997849465,2,Very Low,Low
AG_02609,Code Assistant,Claude-3.5,Edge,Code Generation,9,10,0.3,0.4,0.4299,58.85,280.15,552.4,81.2,0.0251,True,0.4064,False,True,0.8292,0.7861,2024-12-30 04:16:16,0.8105,0.36897,14.136781609195404,128.448,0.21611146470840614,0.9497599999999999,0.00042124101563766763,2.521776508071367,-0.008984285714285698,0.6812816442275977,0.3401826280232466,0.001981869928816706,1,Very Low,Low
AG_01249,Code Assistant,Mixtral-8x7B,Edge,Decision Making,8,8,0.3,0.435,0.4437,34.93,223.84,502.8,93.2,0.0167,True,0.31,False,True,0.8824,0.7711,2024-12-30 04:16:16,0.8735,0.38361,21.672881355932205,101.7,0.2186071744673675,1.2349999999999997,0.00021433548149632983,1.7911980990552534,-0.013462857142857125,0.6812816442275977,0.34152619945181806,0.001981869928816706,1,Low,Low
AG_02006,Code Assistant,Gemini-Pro,Server,Planning & Scheduling,4,5,0.7403,0.7426,0.6873,34.01,1494.91,301.3,42.9,0.0143,False,0.7736,False,False,0.7845,0.6576,2025-01-01 04:16:16,0.8479,0.72509,47.39150326797385,124.152,0.6099560889010168,0.35026000000000007,0.04004870125630049,0.00042046456924433993,0.035511428571428576,0.6812816442275977,0.20539734230896092,0.002909115456679281,4,High,Medium
